t2,y2,t2,y2;
207313.74750000006,3.921875,207373.73549999995,35.86644071554997;
207313.81000000006,-1.078125,207373.79799999995,17.86644071554997;
207313.87250000006,15.921875,207373.86049999995,13.86644071554997;
207313.93500000006,32.921875,207373.92299999995,26.86644071554997;
207313.99750000006,-4.078125,207373.98549999995,14.86644071554997;
207314.06000000006,5.921875,207374.04799999995,26.86644071554997;
207314.12250000006,18.921875,207374.11049999995,33.86644071554997;
207314.18500000006,7.921875,207374.17299999995,10.86644071554997;
207314.24750000006,0.921875,207374.23549999995,17.86644071554997;
207314.31000000006,7.921875,207374.29799999995,18.86644071554997;
207314.37250000006,20.921875,207374.36049999995,6.86644071554997;
207314.43500000006,-6.078125,207374.42299999995,14.86644071554997;
207314.49750000006,8.921875,207374.48549999995,25.86644071554997;
207314.56000000006,16.921875,207374.54799999995,22.86644071554997;
207314.62250000006,12.921875,207374.61049999995,22.86644071554997;
207314.68500000006,11.921875,207374.67299999995,16.86644071554997;
207314.74750000006,1.921875,207374.73549999995,32.86644071554997;
207314.81000000006,-4.078125,207374.79799999995,22.86644071554997;
207314.87250000006,7.921875,207374.86049999995,34.86644071554997;
207314.93500000006,28.921875,207374.92299999995,49.86644071554997;
207314.99750000006,8.921875,207374.98549999995,37.86644071554997;
207315.06000000006,-10.078125,207375.04799999995,18.86644071554997;
207315.12250000006,4.921875,207375.11049999995,9.86644071554997;
207315.18500000006,20.921875,207375.17299999995,32.86644071554997;
207315.24750000006,24.921875,207375.23549999995,8.86644071554997;
207315.31000000006,29.921875,207375.29799999995,14.86644071554997;
207315.37250000006,-2.078125,207375.36049999995,23.86644071554997;
207315.43500000006,-16.078125,207375.42299999995,13.86644071554997;
207315.49750000006,-8.078125,207375.48549999995,-8.13355928445003;
207315.56000000006,0.921875,207375.54799999995,3.8664407155499703;
207315.62250000006,37.921875,207375.61049999995,20.86644071554997;
207315.68500000006,23.921875,207375.67299999995,16.86644071554997;
207315.74750000006,11.921875,207375.73549999995,18.86644071554997;
207315.81000000006,17.921875,207375.79799999995,14.86644071554997;
207315.87250000006,6.921875,207375.86049999995,17.86644071554997;
207315.93500000006,34.921875,207375.92299999995,11.86644071554997;
207315.99750000006,31.921875,207375.98549999995,5.86644071554997;
207316.06000000006,6.921875,207376.04799999995,8.86644071554997;
207316.12250000006,12.921875,207376.11049999995,16.86644071554997;
207316.18500000006,23.921875,207376.17299999995,28.86644071554997;
207316.24750000006,21.921875,207376.23549999995,28.86644071554997;
207316.31000000006,8.921875,207376.29799999995,14.86644071554997;
207316.37250000006,44.921875,207376.36049999995,2.8664407155499703;
207316.43500000006,20.921875,207376.42299999995,4.86644071554997;
207316.49750000006,7.921875,207376.48549999995,-3.1335592844500297;
207316.56000000006,38.921875,207376.54799999995,20.86644071554997;
207316.62250000006,37.921875,207376.61049999995,16.86644071554997;
207316.68500000006,26.921875,207376.67299999995,3.8664407155499703;
207316.74750000006,4.921875,207376.73549999995,-0.13355928445002974;
207316.81000000006,-6.078125,207376.79799999995,-5.13355928445003;
207316.87250000006,22.921875,207376.86049999995,-12.13355928445003;
207316.93500000006,25.921875,207376.92299999995,2.8664407155499703;
207316.99750000006,18.921875,207376.98549999995,13.86644071554997;
207317.06000000006,21.921875,207377.04799999995,13.86644071554997;
207317.12250000006,-19.078125,207377.11049999995,1.8664407155499703;
207317.18500000006,-17.078125,207377.17299999995,-12.13355928445003;
207317.24750000006,33.921875,207377.23549999995,3.8664407155499703;
207317.31000000006,30.921875,207377.29799999995,-5.13355928445003;
207317.37250000006,11.921875,207377.36049999995,10.86644071554997;
207317.43500000006,1.921875,207377.42299999995,19.86644071554997;
207317.49750000006,-0.078125,207377.48549999995,12.86644071554997;
207317.56000000006,3.921875,207377.54799999995,10.86644071554997;
207317.62250000006,29.921875,207377.61049999995,-4.13355928445003;
207317.68500000006,9.921875,207377.67299999995,-5.13355928445003;
207317.74750000006,12.921875,207377.73549999995,-11.13355928445003;
207317.81000000006,29.921875,207377.79799999995,2.8664407155499703;
207317.87250000006,3.921875,207377.86049999995,-0.13355928445002974;
207317.93500000006,8.921875,207377.92299999995,1.8664407155499703;
207317.99750000006,-6.078125,207377.98549999995,5.86644071554997;
207318.06000000006,-5.078125,207378.04799999995,-19.13355928445003;
207318.12250000006,-10.078125,207378.11049999995,0.8664407155499703;
207318.18500000006,-0.078125,207378.17299999995,8.86644071554997;
207318.24750000006,15.921875,207378.23549999995,-3.1335592844500297;
207318.31000000006,-4.078125,207378.29799999995,5.86644071554997;
207318.37250000006,14.921875,207378.36049999995,12.86644071554997;
207318.43500000006,4.921875,207378.42299999995,0.8664407155499703;
207318.49750000006,1.921875,207378.48549999995,15.86644071554997;
207318.56000000006,17.921875,207378.54799999995,3.8664407155499703;
207318.62250000006,0.921875,207378.61049999995,6.86644071554997;
207318.68500000006,9.921875,207378.67299999995,24.86644071554997;
207318.74750000006,-34.078125,207378.73549999995,17.86644071554997;
207318.81000000006,-33.078125,207378.79799999995,7.86644071554997;
207318.87250000006,-8.078125,207378.86049999995,-2.1335592844500297;
207318.93500000006,-10.078125,207378.92299999995,-8.13355928445003;
207318.99750000006,-5.078125,207378.98549999995,13.86644071554997;
207319.06000000006,-2.078125,207379.04799999995,29.86644071554997;
207319.12250000006,-14.078125,207379.11049999995,28.86644071554997;
207319.18500000006,-10.078125,207379.17299999995,8.86644071554997;
207319.24750000006,-16.078125,207379.23549999995,21.86644071554997;
207319.31000000006,-2.078125,207379.29799999995,15.86644071554997;
207319.37250000006,-38.078125,207379.36049999995,17.86644071554997;
207319.43500000006,-33.078125,207379.42299999995,31.86644071554997;
207319.49750000006,22.921875,207379.48549999995,31.86644071554997;
207319.56000000006,-11.078125,207379.54799999995,25.86644071554997;
