t2,y2,t2,y2;
205003.75450000004,15.921875,205003.74349999998,0.8664407155499703;
205003.81700000004,40.921875,205003.80599999998,2.8664407155499703;
205003.87950000004,12.921875,205003.86849999998,-8.13355928445003;
205003.94200000004,-15.078125,205003.93099999998,4.86644071554997;
205004.00450000004,0.921875,205003.99349999998,-3.1335592844500297;
205004.06700000004,37.921875,205004.05599999998,2.8664407155499703;
205004.12950000004,-33.078125,205004.11849999998,-13.13355928445003;
205004.19200000004,-7.078125,205004.18099999998,-3.1335592844500297;
205004.25450000004,-0.078125,205004.24349999998,11.86644071554997;
205004.31700000004,-30.078125,205004.30599999998,-9.13355928445003;
205004.37950000004,-8.078125,205004.36849999998,12.86644071554997;
205004.44200000004,21.921875,205004.43099999998,-1.1335592844500297;
205004.50450000004,-37.078125,205004.49349999998,8.86644071554997;
205004.56700000004,-21.078125,205004.55599999998,-2.1335592844500297;
205004.62950000004,-19.078125,205004.61849999998,20.86644071554997;
205004.69200000004,-26.078125,205004.68099999998,5.86644071554997;
205004.75450000004,-1.078125,205004.74349999998,17.86644071554997;
205004.81700000004,-9.078125,205004.80599999998,6.86644071554997;
205004.87950000004,-29.078125,205004.86849999998,3.8664407155499703;
205004.94200000004,-13.078125,205004.93099999998,10.86644071554997;
205005.00450000004,14.921875,205004.99349999998,4.86644071554997;
205005.06700000004,-8.078125,205005.05599999998,3.8664407155499703;
205005.12950000004,-45.078125,205005.11849999998,14.86644071554997;
205005.19200000004,-5.078125,205005.18099999998,20.86644071554997;
205005.25450000004,-33.078125,205005.24349999998,4.86644071554997;
205005.31700000004,-36.078125,205005.30599999998,18.86644071554997;
205005.37950000004,-32.078125,205005.36849999998,0.8664407155499703;
205005.44200000004,-33.078125,205005.43099999998,16.86644071554997;
205005.50450000004,-38.078125,205005.49349999998,-10.13355928445003;
205005.56700000004,-31.078125,205005.55599999998,4.86644071554997;
205005.62950000004,-29.078125,205005.61849999998,12.86644071554997;
205005.69200000004,-45.078125,205005.68099999998,7.86644071554997;
205005.75450000004,-18.078125,205005.74349999998,35.86644071554997;
205005.81700000004,-20.078125,205005.80599999998,9.86644071554997;
205005.87950000004,-50.078125,205005.86849999998,1.8664407155499703;
205005.94200000004,-24.078125,205005.93099999998,15.86644071554997;
205006.00450000004,-20.078125,205005.99349999998,32.86644071554997;
205006.06700000004,-35.078125,205006.05599999998,5.86644071554997;
205006.12950000004,-8.078125,205006.11849999998,21.86644071554997;
205006.19200000004,-29.078125,205006.18099999998,18.86644071554997;
205006.25450000004,-41.078125,205006.24349999998,14.86644071554997;
205006.31700000004,-13.078125,205006.30599999998,15.86644071554997;
205006.37950000004,-23.078125,205006.36849999998,-2.1335592844500297;
205006.44200000004,-39.078125,205006.43099999998,26.86644071554997;
205006.50450000004,-18.078125,205006.49349999998,-18.13355928445003;
205006.56700000004,-29.078125,205006.55599999998,-17.13355928445003;
205006.62950000004,-46.078125,205006.61849999998,2.8664407155499703;
205006.69200000004,-29.078125,205006.68099999998,3.8664407155499703;
205006.75450000004,5.921875,205006.74349999998,-3.1335592844500297;
205006.81700000004,-13.078125,205006.80599999998,12.86644071554997;
205006.87950000004,-6.078125,205006.86849999998,22.86644071554997;
205006.94200000004,-10.078125,205006.93099999998,6.86644071554997;
205007.00450000004,3.921875,205006.99349999998,-3.1335592844500297;
205007.06700000004,4.921875,205007.05599999998,0.8664407155499703;
205007.12950000004,-14.078125,205007.11849999998,11.86644071554997;
205007.19200000004,6.921875,205007.18099999998,-4.13355928445003;
205007.25450000004,4.921875,205007.24349999998,13.86644071554997;
205007.31700000004,-38.078125,205007.30599999998,10.86644071554997;
205007.37950000004,14.921875,205007.36849999998,3.8664407155499703;
205007.44200000004,26.921875,205007.43099999998,-1.1335592844500297;
