t2,y2,t2,y2;
217543.72750000004,108.921875,217603.75249999994,16.86644071554997;
217543.79000000004,110.921875,217603.81499999994,20.86644071554997;
217543.85250000004,115.921875,217603.87749999994,18.86644071554997;
217543.91500000004,105.921875,217603.93999999994,2.8664407155499703;
217543.97750000004,96.921875,217604.00249999994,3.8664407155499703;
217544.04000000004,104.921875,217604.06499999994,16.86644071554997;
217544.10250000004,107.921875,217604.12749999994,1.8664407155499703;
217544.16500000004,111.921875,217604.18999999994,-14.13355928445003;
217544.22750000004,60.921875,217604.25249999994,-10.13355928445003;
217544.29000000004,91.921875,217604.31499999994,-14.13355928445003;
217544.35250000004,63.921875,217604.37749999994,-25.13355928445003;
217544.41500000004,58.921875,217604.43999999994,-27.13355928445003;
217544.47750000004,49.921875,217604.50249999994,-24.13355928445003;
217544.54000000004,41.921875,217604.56499999994,-30.13355928445003;
217544.60250000004,16.921875,217604.62749999994,-25.13355928445003;
217544.66500000004,42.921875,217604.68999999994,-13.13355928445003;
217544.72750000004,18.921875,217604.75249999994,-35.13355928445003;
217544.79000000004,19.921875,217604.81499999994,-20.13355928445003;
217544.85250000004,-3.078125,217604.87749999994,-22.13355928445003;
217544.91500000004,-15.078125,217604.93999999994,-21.13355928445003;
217544.97750000004,-12.078125,217605.00249999994,-33.13355928445003;
217545.04000000004,21.921875,217605.06499999994,-17.13355928445003;
217545.10250000004,-41.078125,217605.12749999994,-28.13355928445003;
217545.16500000004,-29.078125,217605.18999999994,-24.13355928445003;
217545.22750000004,-16.078125,217605.25249999994,-22.13355928445003;
217545.29000000004,-47.078125,217605.31499999994,-37.13355928445003;
217545.35250000004,-63.078125,217605.37749999994,-5.13355928445003;
217545.41500000004,-27.078125,217605.43999999994,-22.13355928445003;
217545.47750000004,-72.078125,217605.50249999994,4.86644071554997;
217545.54000000004,-67.078125,217605.56499999994,-7.13355928445003;
217545.60250000004,-69.078125,217605.62749999994,1.8664407155499703;
217545.66500000004,-65.078125,217605.68999999994,-14.13355928445003;
217545.72750000004,-44.078125,217605.75249999994,9.86644071554997;
217545.79000000004,-79.078125,217605.81499999994,0.8664407155499703;
217545.85250000004,-68.078125,217605.87749999994,0.8664407155499703;
217545.91500000004,-28.078125,217605.93999999994,3.8664407155499703;
217545.97750000004,-31.078125,217606.00249999994,-5.13355928445003;
217546.04000000004,-53.078125,217606.06499999994,-1.1335592844500297;
217546.10250000004,-57.078125,217606.12749999994,-6.13355928445003;
217546.16500000004,-58.078125,217606.18999999994,13.86644071554997;
